S.No.,TempleID,TempleName,Address,City,District,ZipCode,Latitude,Longitude
56,TM000056,Sowthadka Sri Mahaganapathi Temple,Kokkada,Dakshina Kannada,Dakshina Kannada,574198,12.8720893,75.3978012
57,TM000057,Sri Renuka Yallamma Temple,Yallammanagudda,Belagavi,Belagavi,591173,15.7544821,75.1540465
58,TM000058,Sri Chamundeshwari Temple,Chamundi Hill,Mysore,Mysuru,570010,12.2724938,76.6707186
59,TM000059,Sri Utsvambha Temple,Uchangidurga,Vijayanagar,Ballari,583125,14.5633801,76.05309
60,TM000060,Sri Kanaka Durgamma Temple,Siraguppa Road,Ballary,Ballari,583101,15.1750557,76.911816
61,TM000061,Sri Katte Basaveshwara Temple,"2XWM+GH6, Yetthina Budihal",,Ballari,583102,15.04910292,76.98869628
62,TM000062,Sri Mookambika Temple,Kolluru,Udupi,Udupi,576220,13.8637888,74.8144538
63,TM000063,Sri Subrahmanyaswamy Temple,Ghati,Benagluru Rural,Bengaluru Rural,561203,13.3016965,77.4931403
64,TM000064,Sri Venkataramanaswamy Temple,Bangaru Thirupathi,Kolar,Kolar,563116,13.0301303,78.3547204
65,TM000065,Sri Virupaksheshwara Swamy Temple,Hampi,Vijayanagara,Ballari,583239,15.3336563,76.4607346
66,TM000066,Sri Biligiriranganatha Swamy Temple,B R Hills,Chamarajanagar,Chamarajanagara,571441,11.9997763,77.1386197
67,TM000067,Sri Celuvanarayana Swamy Temple,Melukote,Mandya,Mandya,571431,12.659807,76.6484909
68,TM000068,Sri Sahasra Lingeshwara Mahakali Temple,Puttur,Dakshina Kannada,Dakshina Kannada,574241,12.8387217,75.2439637
69,TM000069,Sri Guru Thipperudra Swamy Temple,Nayakanahatty,Chitradurga,Chitradurga,577536,14.4637311,76.5460962
70,TM000070,Sri Mylarlingeshwara Swamy Temple,Huvinahadagali,Vijayanagara,Ballari,583219,15.0199533,75.931808
71,TM000071,Sri Mallikarjuna Swamy And Basaveshwara Swamy Temple,Kuruvatti,Vijayanagara,Ballari,583217,14.7853916,75.7029837
72,TM000072,Sri Guru Basaveshwara Swamy Temple,,,Ballari,,,
73,TM000073,Sri Amratheshwari Halavu Makkala Thayi Temple,Kota Fisheries Road,Udupi,Udupi,576221,13.5252456,74.7049578
74,TM000074,Sri Vaidyanatheshwara Swamy Temple,Talakadu,Mysuru,Mysuru,571122,12.1792937,77.0263474
75,TM000075,Sri Kengal Anjaneya Swamy Temple,Channapattana,Ramanagara,Ramanagara,562161,12.6873138,77.2346034
76,TM000076,Sri Aprameya Swamy Temple,Malur Channapattana,Ramanagara,Ramanagara,562160,12.6469602,77.179657
77,TM000077,Sri Sugureshwara Swamy Temple,Devasuguru,Raichur,Raichur,584170,16.3705544,77.3632644
78,TM000078,Sri Dodda Basaveshwara Swamy Temple,Kurugodu,Ballari,Ballari,583116,15.3446691,76.8344358
79,TM000079,Sri Ranganatha Swamy Temple,Thirumale,Ramanagar,Ramanagara,562120,12.91856626,77.23689459
80,TM000080,Sri Lakshmi Narasimha Swamy Temple,Savanadurga,Ramanagar,Ramanagara,561201,12.9161888,77.2981177
81,TM000081,Sri Hanuman Temple,Chalkapur,Bidar,Bidar,585414,17.8906781,77.2658399
82,TM000082,Sri Veerabhadreshwara Temple,‌Humanabad,Bidar,Bidar,585330,17.7782374,77.1290148
83,TM000083,Sri Rushyashrungeshwara Swamy Temple,"C59M+C6C, Sirimane Falls Road",Yadadahalli,Chikkamagaluru,577139,13.41861385,75.18322988
84,TM000084,Sri Kalasheshwara Swamy Temple,Kalasa,Chikkamagaluru,Chikkamagaluru,577124,13.2322594,75.3633811
85,TM000085,Sri Anjaneya Swamy Temple,Banasawadi,Bengaluru,Bengaluru Urban,560043,13.0132149,77.6523348
86,TM000086,Sri Lakshmi Narasimha Swamy Temple,Devarayanadurga,Tumakuru,Tumakuru,572140,13.3788509,77.2132317
87,TM000087,Sri Bhagandeshwara Temple,Bhagamandala,Kodagu,Kodagu,571247,12.3850866,75.5318955
88,TM000088,Sri Omkareshwara Temple,Madikeri,Kodagu,Kodagu,571201,12.4207538,75.7414407
89,TM000089,Sri Ranganathaswamy Temple,Srirangapattana,Mandya,Mandya,571438,12.4248989,76.6790684
90,TM000090,Sri Rameshwara Swamy Temple,Chamarajapete,Bengaluru,Bengaluru Urban,560018,12.9569869,77.5621397
91,TM000091,Sri Patheshwaraswamy And Byraweshwaraswamy Temple,Seethi,Kolar,Kolar,563157,13.2420332,78.0127989
92,TM000092,Sri Renukamba Temple,Chandragutti,Shivamoga,Shivamogga,577429,14.4332249,74.9512906
93,TM000093,Sri Huligemma Devi Temple,Huligi,Koppala,Koppal,583234,15.3050018,76.3445655
94,TM000094,Sri Lakshmi Janardhana Swamy Temple,,Mandya,Mandya,571401,12.5315837,76.8914142
95,TM000095,Sri Venkataramanaswamy Temple,Talakayalbetta,Chikkaballapura,Chikkaballapura,562105,13.3872816,77.8651215
96,TM000096,Sri Guru Dattatreya Baba Budan Swamy Darga,Id Peetha,Chikmagaluru,Chikkamagaluru,577131,13.4327091,75.7550026
